AB,AF,AR,AU,BP,C1,C3,CA,CL,CT,CY,DA,DE,DI,DT,EA,EI,EM,EP,FN,FU,FX,GA,ID,IS,J9,JI,LA,MA,NR,OA,OI,PA,PD,PG,PI,PM,PN,PT,PU,PY,RI,RP,SC,SI,SN,SO,SP,SU,TC,TI,U1,U2,UT,VL,VR,WC,WE,Z9
"This paper deals with the challenges of developing communicative competence representing a fundamental competence in the framework of future teacher professional training. The authors believe, that the above competence is underpinned by the speech mastery of a teacher and effective communication practice. The authors identified contradictions in the existing system of communicative training and outlined the way forward for developing communicative competence of students in pedagogical universities in the context of implementation of the new Federal State Standard of Higher Education. Communicative competence is viewed as a universal transprofessional meta-competence, which should be developed, first of all, through subject areas with philological focus, offering special assignments aimed at developing practical communicative skills: language, speech and rhetorical skills necessary for further professional activity of a teacher. The research carried out by the authors, supported by theoretical analysis, synthesis, classification and generalization, and method of pedagogical design, made it possible to refine and adjust the variable part of curricula, to make substantial changes in the design of programs and classes for students seeking Bachelor's degree in the field of training Pedagogical Education, specialties Primary Education; and Pre-school Education. Primary education. The presented methodological experience indicates possible ways to eliminate the identified contradictions in the context of raising a future teacher.","Vershinina, Natalya V. Babina, Svetlana A. Beloglazova, Elena, V Lugzaeva, Svetlana, I",,"Vershinina, NV Babina, SA Beloglazova, EV Lugzaeva, SI",7,"[Vershinina, Natalya V.; Babina, Svetlana A.; Beloglazova, Elena, V; Lugzaeva, Svetlana, I] Mordovian State Pedag Inst, Dept Methods Presch & Primary Educ, Saransk, Russia.",,,,,,2025-01-19,Communicative Competence; Future Teacher; Philological Subject Areas; Practical Communicative Skills; Federal State Standard of Higher Education,,Article,,,,14,,Mordovian State Pedagogical Institute,"The research was funded by the internal grant from the Mordovian State Pedagogical Institute named after M.E. Evseviev on the theme ""Challenges and Opportunities of Developing Communicative Competence of Future Teachers within the effort Designing and Developing Competence-Oriented Content and Technologies of Training"".",KS1VV,,2,INT J APPL EXERC PHY,Int. J. Appl. Exerc. Physiol.,English,,26,,,"C/O ALI REZA AMANI, MANAGING ED, SHOMAL UNIV, PO BOX 731, MAZANDARAN, 46131-46391, IRAN",FEB,8,MAZANDARAN,,,J,INT JOURNAL APPLIED EXERCISE PHYSIOLOGY,2020,"Babina, Svetlana/AAS-6910-2021","Vershinina, NV (corresponding author), Mordovian State Pedag Inst, Dept Methods Presch & Primary Educ, Saransk, Russia.",Sport Sciences,,2322-3537,INTERNATIONAL JOURNAL OF APPLIED EXERCISE PHYSIOLOGY,,,1,Challenges and Opportunities for Developing Communicative Competence of Future Teachers,0,8,WOS:000518098900002,9,,Sport Sciences,Emerging Sources Citation Index (ESCI),1
"To meet challenges related to changing demographics, and to optimize the promise of diversity, radiologists must bridge the gap between numbers of women and historically underrepresented minorities in radiology and radiation oncology as contrasted with other medical specialties. Research reveals multiple ways that women and underrepresented minorities can benefit radiology education, research, and practice. To achieve those benefits, promising practices promote developing and implementing strategies that support diversity as an institutional priority and cultivate shared responsibility among all members to create inclusive learning and workplace environments. Strategies also include providing professional development to empower and equip members to accomplish diversity-related goals. Among topics for professional development about diversity, unconscious bias has shown positive results. Unconscious bias refers to ways humans unknowingly draw upon assumptions about individuals and groups to make decisions about them. Researchers have documented unconscious bias in a variety of contexts and professions, including health care, in which they have studied differential treatment, diagnosis, prescribed care, patient well-being and compliance, physician-patient interactions, clinical decision making, and medical school education. These studies demonstrate unfavorable impacts on members of underrepresented groups and women. Learning about and striving to counteract unconscious bias points to promising practices for increasing the numbers of women and underrepresented minorities in the radiology and radiation oncology workforce.","Allen, Brenda J. Garg, Kavita",,"Allen, BJ Garg, K",1426,"[Allen, Brenda J.] Univ Colorado, Off Divers & Inclus, Anschutz Med Campus,Campus Box 137, Denver, CO 80204 USA. [Garg, Kavita] Univ Colorado, Dept Radiol, Anschutz Med Campus, Denver, CO 80202 USA.",University of Colorado System; University of Colorado Anschutz Medical Campus; University of Colorado Denver; University of Colorado System; University of Colorado Denver; University of Colorado Anschutz Medical Campus,,,,,2025-01-19,Unconscious bias; diversity; gender; URNS,10.1016/j.jacr.2016.08.016,Article,,,brenda.j.allen@ucdenver.edu,1432,,,,EE4HF,IMPROVING DIVERSITY; HEALTH; CARE; REPRESENTATION; MINORITY; CHALLENGES; PHYSICIANS; INCLUSION; WORKFORCE; COGNITION,12,J AM COLL RADIOL,J. Am. Coll. Radiol.,English,,34,Bronze,,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",DEC,7,NEW YORK,27916109,,J,ELSEVIER SCIENCE INC,2016,,"Allen, BJ (corresponding author), Univ Colorado, Off Divers & Inclus, Anschutz Med Campus,Campus Box 137, Denver, CO 80204 USA.","Radiology, Nuclear Medicine & Medical Imaging",,1546-1440,JOURNAL OF THE AMERICAN COLLEGE OF RADIOLOGY,,,81,Diversity Matters in Academic Radiology: Acknowledging and Addressing Unconscious Bias,0,12,WOS:000389562200009,13,,"Radiology, Nuclear Medicine & Medical Imaging",Science Citation Index Expanded (SCI-EXPANDED),84
"The current research aims to summarize the features of school education in rural areas in Ukraine and to establish their potential influence on students' academic and socio-psychological adaptation to a new learning and living environment. Small number of students in class, poor material and technical condition, limited opportunities for self-realization, low motivation to study etc. are distinguished as the basic peculiarities of Ukrainian rural schools. The authors' mini-questionnaire revealed that 62% of the first-year students of rural origin from a local Bohdan Khmelnytsky National University at Cherkasy experience hardships during adaptation. Challenges faced by 270 first-year students are described: personal, educational, living conditions, psychological, communicative, relationships in the group. The outcomes of the study convince that students of rural origin encounter additional challenges adjusting to changed living conditions while studying in universities in contrast to students from urban and suburban areas. Recommendations are provided to assist rural school counselors in preparing students for their further adaptation at large colleges and universities. Directions of work of psychological service, counsellors and educators in higher education institutions are displayed: individual counseling for the student, development and implementation of special training programs, integration of individual classes into training programs.","Shalivska, Yulia Tkachenko, Kateryna Danylyuk, Serhiy",e9537,"Shalivska, Y Tkachenko, K Danylyuk, S",,"[Shalivska, Yulia] Rivne State Univ Humanities, Dept Theory & Methods Educ, Stepana Bandery Str 12, Rivne, Ukraine. [Tkachenko, Kateryna; Danylyuk, Serhiy] Bohdan Khmelnytsky Natl Univ, Cherkassy, Ukraine.",Ministry of Education & Science of Ukraine; Rivne State University of Humanities; Ministry of Education & Science of Ukraine; Bohdan Khmelnytsky National University of Cherkasy,,,,,2025-01-19,Adaptation; First-Year Student; Higher Education Institution; Rural School; Student of Rural Origin; Ukraine,10.20873/uft.rbec.e9537,Article,,,ukr_scientist@ukr.net,,,,,MV1JJ,,,REV BRAS EDUC CAMPO,Rev. Bras. Educ. Campo-Braz. J. Rural Educ.,English,,22,gold,"Danylyuk, Serhiy/0000-0002-0656-2413; Salivs'ka, Ulia/0000-0001-5435-569X; Tkachenko, Kateryna/0000-0002-6811-0332","DEPT EDUC CAMPO A, NOSSA SENHORA FATIMA, N 1588, TOCANTINOPOLIS, CEP77900-000, BRAZIL",,22,TOCANTINOPOLIS,,,J,"UNIV FEDERAL TOCANTINS, CAMPUS TOCANTINOPOLIS",2020,"Катерина Олександрівна, Ткаченко/GSE-6316-2022; Danylyuk, Serhiy/B-4009-2014","Shalivska, Y (corresponding author), Rivne State Univ Humanities, Dept Theory & Methods Educ, Stepana Bandery Str 12, Rivne, Ukraine.",Education & Educational Research,,2525-4863,REVISTA BRASILEIRA DE EDUCACAO DO CAMPO-BRAZILIAN JOURNAL OF RURAL EDUCATION,,,0,Impact of rural schools on further adaptation of rural youth to the university life in a city: experience of Bohdan Khmelnytsky National University,2,7,WOS:000556118200001,5,,Education & Educational Research,Emerging Sources Citation Index (ESCI),0
"United Nations of Education Scientific and Cultural Organisation's (UNESCO's) founding statements about environmental education (EE) in the 1970s positioned it as a multidisciplinary field of inquiry. When enacted as such, it challenges traditional ways of organising secondary school education by academic subject areas. Equally, according to UNESCO, EE requires various forms of integrated and project-based teaching and learning approaches. These can involve hands-on experimentation alongside the retrieval and critical analysis of information from diverse sources and perspectives, and with different qualities and statuses. Multidisciplinary and knowledge engagement challenges are key considerations for an EE curriculum designed to harness information and communication technologies (ICT) to support and enhance student learning, which also challenge traditional instructional priorities that for example are largely based on textbooks. This review summarises research that has sought to integrate ICT and digital tools in EE. A key finding is that while there is a rich variety of such tools and applications available, there is far less research on their fit with and implications for student learning. The review calls for further studies that will provide models of productive forms of teaching and learning that harness ICT resources, particularly in developing the goals and methodologies of EE in the twenty-first century.","Fauville, G. Lantz-Andersson, A. Saljo, R.",,"Fauville, G Lantz-Andersson, A Säljö, R",248,"[Fauville, G.] Univ Gothenburg, Sven Loven Ctr Marine Sci, Dept Biol & Environm Sci, Fiskebackskil, Sweden. [Lantz-Andersson, A.; Saljo, R.] Univ Gothenburg, Dept Educ Commun & Learning, Gothenburg, Sweden. [Lantz-Andersson, A.; Saljo, R.] Univ Gothenburg, Linnaeus Ctr Res Learning Interact & Mediated Com, Gothenburg, Sweden. [Fauville, G.; Lantz-Andersson, A.; Saljo, R.] Univ Gothenburg Learning & Media Technol Studio L, Gothenburg, Sweden.",University of Gothenburg; University of Gothenburg; University of Gothenburg,,,,,2025-01-19,environmental education and digital media; literature review; digital tools; ICT in classrooms,10.1080/13504622.2013.775220,Review,,1469-5871,geraldine.fauville@bioenv.gu.se,283,,,,AC1SA,OCEAN ACIDIFICATION; E-SCIENCE; STUDENTS; TECHNOLOGIES; CLASSROOM,2,ENVIRON EDUC RES,Environ. Educ. Res.,English,,64,,"Fauville, Geraldine/0000-0001-5462-2591; Lantz-Andersson, Annika/0000-0002-0981-3716","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",MAR 4,36,ABINGDON,,,J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2014,"SÃ¤ljÃ¶, Roger/KYR-0358-2024","Fauville, G (corresponding author), Univ Gothenburg, Sven Loven Ctr Marine Sci, Dept Biol & Environm Sci, Fiskebackskil, Sweden.",Education & Educational Research; Environmental Sciences & Ecology,,1350-4622,ENVIRONMENTAL EDUCATION RESEARCH,,,31,ICT tools in environmental education: reviewing two newcomers to schools,2,82,WOS:000332275200006,20,,Education & Educational Research; Environmental Studies,Social Science Citation Index (SSCI),34
"Open innovation crowdsourcing can help enterprises meet the challenges of a rapidly changing environment and improve their innovation performance. This study introduces network externalities as influencing factors of the crowdsourcing open innovation synergy mechanism. This study constructed the game payment matrix of the crowdsourcing open innovation synergy mechanism, and the evolutionary game method obtained the equilibrium solution of the crowdsourcing open innovation synergy mechanism. The impact of changes in the main influencing factors on the issuers' and receivers' willingness to collaborate and innovate was explored through numerical and case studies. The study shows that the higher the synergy benefit and its allocation coefficient need to be within a reasonable range for the willingness to collaborate and innovate to increase; the lower the original cost of both parties, and the higher the cost reduction coefficient under the policy support of the crowdsourcing platform, the higher the willingness to collaborate and innovate; the higher the network externality and the lower the penalty for breach of contract, the higher the desire to collaborate and innovate. The study recommends strengthening non-school education to guide innovation for all, and refining relevant policies to tailor innovation to local conditions. This study provides a new perspective and theoretical guidance for enterprises to build a crowdsourcing open innovation synergy mechanism and is a valuable reference for open innovation management.","Jiang, Yanyan Zhang, Lichi Wu, Junmin",e17512,"Jiang, YY Zhang, LC Wu, JM",,"[Jiang, Yanyan; Zhang, Lichi; Wu, Junmin] Jiangsu Univ Sci & Technol, Zhenjiang 212000, Peoples R China. [Zhang, Lichi] Zhenjiang Coll, Zhenjiang 212028, Peoples R China.",Jiangsu University of Science & Technology,,,,,2025-01-19,Crowdsourcing; Open innovation; Synergy mechanism; Evolutionary game,10.1016/j.heliyon.2023.e17512,Article,JUN 2023,2405-8440,zhanglc@zjc.edu.cn,,,"China's National Natural Science Foundation [71874073]; National Social Science Foundation of China [19BGL084]; Social Science Foundation of Jiangsu Province [21GLB008]; Philosophy and Social Science Research in Colleges and Universities of Jiangsu Province [2019SJA1938]; Zhenjiang City, the sixth ""169 Project"" [4]","This work is partially supported by grants from China's National Natural Science Foundation [Grant no. 71874073]; National Social Science Foundation of China [Grant no. 19BGL084]; Social Science Foundation of Jiangsu Province [Grant no.21GLB008]; Philosophy and Social Science Research in Colleges and Universities of Jiangsu Province [Grant no.2019SJA1938]; Zhenjiang City, the sixth ""169 Project"" funding [Grant no. Zhenjiang talent [2021] No. 4].",O3MA5,NETWORK EXTERNALITY; TECHNOLOGY; OPPORTUNITIES; PERFORMANCE; COMPETITION; CHALLENGES,6,HELIYON,Heliyon,English,,64,"gold, Green Published","Zhang, Lichi/0000-0002-2539-3301","50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",JUN,16,CAMBRIDGE,37408914,,J,CELL PRESS,2023,,"Zhang, LC (corresponding author), Jiangsu Univ Sci & Technol, Zhenjiang 212000, Peoples R China.",Science & Technology - Other Topics,,,HELIYON,,,4,Evolutionary game study of crowdsourcing open innovation synergy mechanism,8,37,WOS:001042880300001,9,,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),4
"Community colleges are frequently an affordable, accessible entrance to a Science, Technology, Engineering, and Mathematics (STEM) education and career, but the transition from a 2-year program to a 4-year institution can be tumultuous. In this mixed-methods study, we explore the experiences of transfer and prospective transfer students. Through surveys and interviews, we identify the challenges faced by and the supports desired by biology transfer students. We describe how community college students perceive their introductory biology courses, and we compare the biology identity and self-efficacy of these students to peers at a 4-year institution. Students expressed uncertainty about what to expect from the transfer experience, and they benefitted from interventions that made the university experience more concrete or clarified their expectations. We found that community college students are just as interested in biology as peers at a 4-year university, but they are significantly less likely to believe that others recognize them as ""biology people"" and report less self-efficacy regarding biology courses. Students felt particularly well-prepared for transfer after community college biology courses they described as ""rigorous"" and ""demanding,"" especially because students expressed that the community college environment helped support them through the challenges of higher education.","Teshera-Levye, Jennifer Atchison, Tammy Callis-Duehl, Kristine Gould, Thomas Lichti, Deborah Scemama, Jean-Luc Stiller, John Vance-Chalcraft, Heather D.",e0011623,"Teshera-Levye, J Atchison, T Callis-Duehl, K Gould, T Lichti, D Scemama, JL Stiller, J Vance-Chalcraft, HD",,"[Teshera-Levye, Jennifer; Scemama, Jean-Luc; Stiller, John; Vance-Chalcraft, Heather D.] East Carolina Univ, Dept Biol, Greenville, NC 27858 USA. [Atchison, Tammy; Gould, Thomas] Pitt Community Coll, Acad Affairs, Winterville, NC USA. [Callis-Duehl, Kristine] Donald Danforth Plant Sci Ctr, Olivette, MO USA. [Lichti, Deborah] Univ Michigan, Ctr Res Learning & Teaching, Ann Arbor, MI USA.",University of North Carolina; East Carolina University; Donald Danforth Plant Science Center; University of Michigan System; University of Michigan,,,,,2025-01-19,transfer experience; biology identity; active learning; community college; undergraduate,10.1128/jmbe.00116-23,Article,,1935-7885,jteshera-levye2@unl.edu,,,National Science Foundation [DUE 1821909],We appreciate Jynx Pigart-Coleman acting as a second coder for the qualitative analyses. Kathryn Hosbein and Joi Walker facilitated our use of the identity data from ECU introductory biology students. We are grateful for the feedback from three anonymous reviewers. Funding for this work was provided by the National Science Foundation (DUE 1821909).,CT0I0,SCIENCE IDENTITY; SELF-EFFICACY; CAREER; PERFORMANCE; SCIENTIST; AUTONOMY; OUTCOMES; SUCCESS; AGENCY; SENSE,3,J MICROBIOL BIOL EDU,J. Microbiol. Biol. Educ.,English,,58,gold,"Vance-Chalcraft, Heather/0000-0002-7230-1342","1752 N ST NW, WASHINGTON, DC 20036-2904 USA",DEC 14,15,WASHINGTON,38107991,,J,AMER SOC MICROBIOLOGY,2023,,"Teshera-Levye, J (corresponding author), East Carolina Univ, Dept Biol, Greenville, NC 27858 USA.",Education & Educational Research,,1935-7877,JOURNAL OF MICROBIOLOGY & BIOLOGY EDUCATION,,,1,Transfer-bound community college students' biology identity and perception of teaching,0,2,WOS:001127369100018,24,,"Education, Scientific Disciplines",Emerging Sources Citation Index (ESCI),1
"The Youth Strike for Climate raised important global attention to interconnected climate, energy and environmental issues - it also compelled us to consider what we will do to address these pressing challenges. Developed through consideration of such dynamics, we propose critical energy literacy as an emerging theory that denotes understanding of the social, environmental, political and economic challenges, benefits and impacts of various energy sources, developments and technologies. Critical energy literacy is grounded in critical and decolonising approaches to STEM education; considerations for collaborative multi-, inter- and Trans disciplinary pedagogy; critical place-based inquiry and pedagogy; critical gender perspectives and critical media literacy and engagement. Enhancing societal critical energy literacy will assist with more equitable energy, transit, construction and environmental planning by and for communities, businesses and governments. In this theory-building commentary, we share insights related to and principles for our emerging theory of critical energy literacy which coalesced through personal experience with and previous studies into related initiatives and areas of inquiry, and recent reviews of literature as well as K-12, post-secondary and not-for-profit curricula in Canada with consideration for international contexts. A discussion of renewable energy development and education focused on the Canadian province of Alberta is presented as an illuminating exemplar.","Lowan-Trudeau, Gregory Fowler, Teresa Anne",,"Lowan-Trudeau, G Fowler, TA",58,"[Lowan-Trudeau, Gregory] Univ Calgary, Werklund Sch Educ, Calgary, AB, Canada. [Fowler, Teresa Anne] Concordia Univ Edmonton, Fac Educ, Dept Phys Educ & Wellness, Edmonton, AB, Canada.",University of Calgary,,,,,2025-01-19,,10.1017/aee.2021.15,Article,SEP 2021,2049-775X,gelowan@ucalgary.ca,68,,Social Sciences and Humanities Research Council (SSHRC) of Canada Insight Grant [435-2019-0238],This work was supported by a Social Sciences and Humanities Research Council (SSHRC) of Canada Insight Grant (#435-2019-0238).,ZZ6UI,CRITICAL PEDAGOGY; INDIGENOUS KNOWLEDGE; WIND ENERGY; EDUCATION; PLACE; SUSTAINABILITY; POLITICS; STEM,1,AUST J ENVIRON EDUC,Austr. J. Environ. Educ.,English,,84,hybrid,,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND",MAR,11,CAMBRIDGE,,,J,CAMBRIDGE UNIV PRESS,2022,"Fowler, Teresa/AAD-6109-2022","Lowan-Trudeau, G (corresponding author), Univ Calgary, Werklund Sch Educ, Calgary, AB, Canada.",Education & Educational Research,,0814-0626,AUSTRALIAN JOURNAL OF ENVIRONMENTAL EDUCATION,,,15,"Towards a theory of critical energy literacy: the Youth Strike for Climate, renewable energy and beyond",1,14,WOS:000725359500001,38,,Education & Educational Research,Emerging Sources Citation Index (ESCI),16
"Previous research suggests that in classes that take an integrated approach to science, technology, engineering, and math (STEM) education, students tend to engage in fulfilling goals of their engineering design challenges, but only inconsistently engage with the related math and science content. The present research examines these inconsistences by focusing on student engagement, or effort, towards math and science concepts while working on an engineering challenge, through the lens of expectancy-value theory. Specifically, we examine how students' perceptions of the value of math and science and expectancy for success with the math and science relate to the efforts they put towards using math and science while working on engineering challenges. Our results suggest that subjective task value significantly predicts efforts towards both math and science, whereas neither expectancy, nor the interaction between expectancy and value predicted effort. We argue that integrated learning environments need to help students understand how the domains of math, science, and engineering support their work in fulfilling the engineering project design goals. In other words, weargue that we, as educators, must help students to recognise the value of each of the domains addressed within STEM integrated learning environments. This paper discusses strategies for accomplishing this goal.","Berland, Leema K. Steingut, Rebecca",,"Berland, LK Steingut, R",2742,"[Berland, Leema K.] Univ WI Madison, Dept Curriculum & Instruct, Madison, WI 53706 USA. [Steingut, Rebecca] Univ Texas Austin, Dept Educ Psychol, Austin, TX 78712 USA.",University of Texas System; University of Texas Austin,,,,,2025-01-19,K-12; learning environment,10.1080/09500693.2016.1260179,Article,,1464-5289,lberland@wisc.edu,2761,,National Science Foundation Division of Undergraduate Education [DUE-0831811],This work was supported by the National Science Foundation Division of Undergraduate Education under grant DUE-0831811.,EK6RQ,MIDDLE-SCHOOL SCIENCE; SELF-DETERMINATION THEORY; DESIGN-BASED SCIENCE; ACHIEVEMENT; PERFORMANCE; INQUIRY; PREDICTORS; MOTIVATION; CURRICULUM; MODELS,18,INT J SCI EDUC,Int. J. Sci. Educ.,English,,68,,"Steingut, Rebecca/0000-0001-8689-0179; Berland, Leema/0000-0002-1702-6835","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,20,ABINGDON,,,J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2017,"Steingut, Rebecca/P-7119-2017","Berland, LK (corresponding author), Univ WI Madison, Dept Curriculum & Instruct, Madison, WI 53706 USA.",Education & Educational Research,,0950-0693,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,,,10,Explaining variation in student efforts towards using math andscience knowledge in engineering contexts,3,40,WOS:000394052200004,38,,Education & Educational Research,Social Science Citation Index (SSCI),20
"Robots are a popular and engaging educational tool for teaching computational thinking, but they often have significant costs and limitations for classroom use. Switching to a simulated environment can eliminate many of these difficulties. By also providing students with a block-based programming environment, the barrier to entry can be further reduced. This paper presents a networked virtual robotics platform designed to create an environment which is highly accessible for novice students and their teachers alike, along with components of a curriculum designed to teach computational thinking skills through robotics programming challenges, including autonomous challenges and in-class competitions. Students access this platform through an extension of the same web interface used for programming their robots, which allows students to collaborate on code and view a shared simulated virtual space. Previously, this virtual robotics platform was used only to facilitate distance education. This paper demonstrates its use in an in-person class during the Spring 2022 semester, illustrating the affordances of a virtual robotics environment for face-to-face learning contexts as well. Students' computational thinking skills were evaluated with assessments both before and after the class, along with surveys and interviews given to determine their opinions and outlooks regarding computer science. The results show that students had a significant improvement in both attitudes and aptitudes.","Stein, Gordon Jean, Devin Brady, Corey Ledeczi, Akos",1031572,"Stein, G Jean, D Brady, C Lédeczi, A",,"[Stein, Gordon; Jean, Devin; Ledeczi, Akos] Vanderbilt Univ, Inst Software Integrated Syst, Nashville, TN 37235 USA. [Brady, Corey] Vanderbilt Univ, Dept Teaching & Learning, Nashville, TN USA.",Vanderbilt University; Vanderbilt University,,,,,2025-01-19,educational robotics; robotics simulation; computational thinking; STEM education; distance education,10.3389/fcomp.2022.1031572,Article,,2624-9898,gordon.stein@vanderbilt.edu,,,National Science Foundation [1835874]; National Security Agency [H98230-18-D-0010]; Computational Thinking and Learning Initiative of Vanderbilt University; Direct For Computer & Info Scie & Enginr; Office of Advanced Cyberinfrastructure (OAC) [1835874] Funding Source: National Science Foundation,"This material is based upon work supported by the National Science Foundation under Grant No. 1835874, the National Security Agency (H98230-18-D-0010), and the Computational Thinking and Learning Initiative of Vanderbilt University.",8F7LA,COMPUTATIONAL THINKING; SCIENCE; EDUCATION,,FRONT COMP SCI-SWITZ,Front. Comput. Sci.-Switz,English,,42,gold,,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",JAN 10,13,LAUSANNE,,,J,FRONTIERS MEDIA SA,2023,"Brady, Corey/JRY-6999-2023; Stein, Gordon/AAK-2303-2020","Stein, G (corresponding author), Vanderbilt Univ, Inst Software Integrated Syst, Nashville, TN 37235 USA.",Computer Science,,,FRONTIERS IN COMPUTER SCIENCE,,,1,Browser-based simulation for novice-friendly classroom robotics,1,13,WOS:000919839100001,4,,"Computer Science, Interdisciplinary Applications",Emerging Sources Citation Index (ESCI),1
"The integration of artificial intelligence into education has emerged as a promising avenue for enriching teaching and learning experiences. Nevertheless, the successful implementation of artificial intelligence in educational contexts hinges upon various factors, one of which is the perspective of instructors. With this in mind, this study aimed to examine the perspectives of 536 instructors in STEM and non-STEM disciplines regarding AI integration. The respondents' thoughts, opinions, and concerns regarding advantages, disadvantages and challenges were gathered through an online questionnaire featuring both closed and open-ended questions. Additionally, a series of semi-structured interview sessions were conducted with a cohort of instructors to collect qualitative and quantitative data. The findings revealed that both STEM and non-STEM instructors expressed positive attitudes toward the integration of AI technologies into education. However, notable differences in responses and concerns were also identified in relation to the perceived capabilities and limitations of AI technologies within educational contexts. The results further elucidated a spectrum of opinions on the benefits (e.g., scalability and tirelessness), drawbacks (e.g., deepfake technology and comfort-seeking behavior), and potential challenges (e.g., educational disillusionment and espionage) associated with AI integration. The study concluded by discussing the implications of these findings for STEM and non-STEM education and offering recommendations for the effective and ethical integration of AI technologies in classrooms.","Parviz, Muhammed",100190,"Parviz, M",,"[Parviz, Muhammed] Imam Ali Univ, Tehran, Iran.",,,,,,2025-01-19,Artificial Intelligence; Education; STEM; Perspective; Non-STEM,10.1016/j.caeo.2024.100190,Article,MAY 2024,,mohammad.parviz60@gmail.com,,,,,UK0R6,,,COMPUT EDUC OPEN,Computer Educ. Open,English,,34,gold,"Parviz, Muhammed/0000-0002-1449-1651","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",JUN,12,AMSTERDAM,,,J,ELSEVIER,2024,"Parviz, Muhammed/JBJ-1896-2023","Parviz, M (corresponding author), Imam Ali Univ, Tehran, Iran.",Computer Science; Education & Educational Research,,2666-5573,COMPUTERS AND EDUCATION OPEN,,,0,AI in education: Comparative perspectives from STEM and Non-STEM instructors,34,36,WOS:001247839500001,6,,"Computer Science, Interdisciplinary Applications; Education & Educational Research",Emerging Sources Citation Index (ESCI),0
"Services of General Interest (SGI) are basic services that society and economy vitally need to function and develop. Securing access to these services is a key concern in many European spatial planning systems. In remote regions across Europe, SGI provision is facing challenges due to demographic and economic transformation processes. Opposing political proposals on how to address these challenges are often rooted in opposing ethical convictions. This article sheds light on the perspectives that different ethical concepts offer on SGI provision and explores the practical repercussions they entail. It is shown that proponents of libertarianism will advocate for allowing people to move to or stay in remote regions without adequate access to SGI as long as this is their voluntary and conscious decision, whereas proponents of egalitarianism will consider it a matter of justice to ensure universal access to SGI in remote regions even if this presupposes major societal efforts. Proponents of utilitarianism, it is shown, will consider it reasonable to expand SGI in densely populated regions, where provision is cost-effective and many people benefit from it, and to reduce it in remote regions, where costs of provision are high and users are few. These positions are illustrated using the examples of school education and local public transport. The article puts forward the view that while a reflection of the different ethical positions cannot resolve the challenges that SGI provision in remote regions is facing, it is often possible to find solutions for SGI provision that reconcile the seemingly contradictory demands resulting from the different positions. The reflection of the different positions thus contributes to reasoned, informed decision-making on SGI provision in spatial planning and beyond.","Stielike, Jan Matthias",,"Stielike, JM",53,"[Stielike, Jan Matthias] Jade Univ Appl Sci, Urban & Rural Planning, Oldenburg, Germany. [Stielike, Jan Matthias] Kassel Univ, Urban Planning, Kassel, Germany. [Stielike, Jan Matthias] Univ Otago, Dunedin, New Zealand.",Jade University of Applied Sciences; Universitat Kassel; University of Otago,,,,,2025-01-19,,10.1080/02513625.2024.2376449,Article,,2166-8604,jan.stielike@jade-hs.de,62,,,,ZL0I9,,1,DISP,disP,English,,36,hybrid,,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",JAN 2,10,ABINGDON,,,J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",2024,,"Stielike, JM (corresponding author), Jade Univ Appl Sci, Urban & Rural Planning, Oldenburg, Germany.; Stielike, JM (corresponding author), Kassel Univ, Urban Planning, Kassel, Germany.; Stielike, JM (corresponding author), Univ Otago, Dunedin, New Zealand.",Public Administration,,0251-3625,DISP,,,0,Securing access to Services of General Interest in remote regions - ethical perspectives and practical implications for spatial planning,0,0,WOS:001275333500005,60,,Regional & Urban Planning,Social Science Citation Index (SSCI),0
